,0,1,2
493,n01629819,494,European_fire_salamander
494,n01630670,495,common_newt
495,n01631663,496,eft
496,n01632458,497,spotted_salamander
497,n01632777,498,axolotl
498,n01641577,499,bullfrog
499,n01644373,500,tree_frog
500,n01644900,501,tailed_frog
501,n04579432,502,whistle
502,n04592741,503,wing
503,n03876231,504,paintbrush
504,n03483316,505,hand_blower
505,n03868863,506,oxygen_mask
506,n04251144,507,snorkel
507,n03691459,508,loudspeaker
508,n03759954,509,microphone
509,n04152593,510,screen
510,n03793489,511,mouse
511,n03271574,512,electric_fan
512,n03843555,513,oil_filter
513,n04332243,514,strainer
514,n04265275,515,space_heater
515,n04330267,516,stove
516,n03467068,517,guillotine
517,n02794156,518,barometer
518,n04118776,519,rule
519,n03841143,520,odometer
520,n04141975,521,scale
521,n02708093,522,analog_clock
522,n03196217,523,digital_clock
523,n04548280,524,wall_clock
524,n03544143,525,hourglass
525,n04355338,526,sundial
526,n03891332,527,parking_meter
527,n04328186,528,stopwatch
528,n03197337,529,digital_watch
529,n04317175,530,stethoscope
530,n04376876,531,syringe
531,n03706229,532,magnetic_compass
532,n02841315,533,binoculars
533,n04009552,534,projector
534,n04356056,535,sunglasses
535,n03692522,536,loupe
536,n04044716,537,radio_telescope
537,n02879718,538,bow
538,n02950826,539,cannon
539,n02749479,540,assault_rifle
540,n04090263,541,rifle
541,n04008634,542,projectile
542,n03085013,543,computer_keyboard
543,n04505470,544,typewriter_keyboard
544,n03126707,545,crane
545,n03666591,546,lighter
546,n02666196,547,abacus
547,n02977058,548,cash_machine
548,n04238763,549,slide_rule
549,n03180011,550,desktop_computer
550,n03485407,551,hand-held_computer
551,n03832673,552,notebook
552,n06359193,553,web_site
553,n03496892,554,harvester
554,n04428191,555,thresher
555,n04004767,556,printer
556,n04243546,557,slot
557,n04525305,558,vending_machine
558,n04179913,559,sewing_machine
559,n03602883,560,joystick
560,n04372370,561,switch
561,n03532672,562,hook
562,n02974003,563,car_wheel
563,n03874293,564,paddlewheel
564,n03944341,565,pinwheel
565,n03992509,566,potter's_wheel
566,n03425413,567,gas_pump
567,n02966193,568,carousel
568,n04371774,569,swing
569,n04067472,570,reel
570,n04040759,571,radiator
571,n04019541,572,puck
572,n03492542,573,hard_disc
573,n04355933,574,sunglass
574,n03929660,575,pick
575,n02965783,576,car_mirror
576,n04258138,577,solar_dish
577,n04074963,578,remote_control
578,n03208938,579,disk_brake
579,n02910353,580,buckle
580,n03476684,581,hair_slide
581,n03627232,582,knot
582,n03075370,583,combination_lock
583,n03874599,584,padlock
584,n03804744,585,nail
585,n04127249,586,safety_pin
586,n04153751,587,screw
587,n03803284,588,muzzle
588,n04162706,589,seat_belt
589,n04228054,590,ski
590,n02948072,591,candle
591,n03590841,592,jack-o'-lantern
592,n04286575,593,spotlight
593,n04456115,594,torch
594,n03814639,595,neck_brace
595,n03933933,596,pier
596,n04485082,597,tripod
597,n03733131,598,maypole
598,n03794056,599,mousetrap
599,n04275548,600,spider_web
600,n01768244,601,trilobite
601,n01770081,602,harvestman
602,n01770393,603,scorpion
603,n01773157,604,black_and_gold_garden_spider
604,n01773549,605,barn_spider
605,n01773797,606,garden_spider
606,n01774384,607,black_widow
607,n01774750,608,tarantula
608,n01775062,609,wolf_spider
609,n01776313,610,tick
610,n01784675,611,centipede
611,n01990800,612,isopod
612,n01978287,613,Dungeness_crab
613,n01978455,614,rock_crab
614,n01980166,615,fiddler_crab
615,n01981276,616,king_crab
616,n01983481,617,American_lobster
617,n01984695,618,spiny_lobster
618,n01985128,619,crayfish
619,n01986214,620,hermit_crab
620,n02165105,621,tiger_beetle
621,n02165456,622,ladybug
622,n02167151,623,ground_beetle
623,n02168699,624,long-horned_beetle
624,n02169497,625,leaf_beetle
625,n02172182,626,dung_beetle
626,n02174001,627,rhinoceros_beetle
627,n02177972,628,weevil
628,n02190166,629,fly
629,n02206856,630,bee
630,n02226429,631,grasshopper
631,n02229544,632,cricket
632,n02231487,633,walking_stick
633,n02233338,634,cockroach
634,n02236044,635,mantis
635,n02256656,636,cicada
636,n02259212,637,leafhopper
637,n02264363,638,lacewing
638,n02268443,639,dragonfly
639,n02268853,640,damselfly
640,n02276258,641,admiral
641,n02277742,642,ringlet
642,n02279972,643,monarch
643,n02280649,644,cabbage_butterfly
644,n02281406,645,sulphur_butterfly
645,n02281787,646,lycaenid
646,n01910747,647,jellyfish
647,n01914609,648,sea_anemone
648,n01917289,649,brain_coral
649,n01924916,650,flatworm
650,n01930112,651,nematode
651,n01943899,652,conch
652,n01944390,653,snail
653,n01945685,654,slug
654,n01950731,655,sea_slug
655,n01955084,656,chiton
656,n02319095,657,sea_urchin
657,n02321529,658,sea_cucumber
658,n03584829,659,iron
659,n03297495,660,espresso_maker
660,n03761084,661,microwave
661,n03259280,662,Dutch_oven
662,n04111531,663,rotisserie
663,n04442312,664,toaster
664,n04542943,665,waffle_iron
665,n04517823,666,vacuum
666,n03207941,667,dishwasher
667,n04070727,668,refrigerator
668,n04554684,669,washer
669,n03133878,670,Crock_Pot
670,n03400231,671,frying_pan
671,n04596742,672,wok
672,n02939185,673,caldron
673,n03063689,674,coffeepot
674,n04398044,675,teapot
675,n04270147,676,spatula
676,n02699494,677,altar
677,n04486054,678,triumphal_arch
678,n03899768,679,patio
679,n04311004,680,steel_arch_bridge
680,n04366367,681,suspension_bridge
681,n04532670,682,viaduct
682,n02793495,683,barn
683,n03457902,684,greenhouse
684,n03877845,685,palace
685,n03781244,686,monastery
686,n03661043,687,library
687,n02727426,688,apiary
688,n02859443,689,boathouse
689,n03028079,690,church
690,n03788195,691,mosque
691,n04346328,692,stupa
692,n03956157,693,planetarium
693,n04081281,694,restaurant
694,n03032252,695,cinema
695,n03529860,696,home_theater
696,n03697007,697,lumbermill
697,n03065424,698,coil
698,n03837869,699,obelisk
699,n04458633,700,totem_pole
700,n02980441,701,castle
701,n04005630,702,prison
702,n03461385,703,grocery_store
703,n02776631,704,bakery
704,n02791270,705,barbershop
705,n02871525,706,bookshop
706,n02927161,707,butcher_shop
707,n03089624,708,confectionery
708,n04200800,709,shoe_shop
709,n04443257,710,tobacco_shop
710,n04462240,711,toyshop
711,n03388043,712,fountain
712,n03042490,713,cliff_dwelling
713,n04613696,714,yurt
714,n03216828,715,dock
715,n02892201,716,brass
716,n03743016,717,megalith
717,n02788148,718,bannister
718,n02894605,719,breakwater
719,n03160309,720,dam
720,n03000134,721,chainlink_fence
721,n03930313,722,picket_fence
722,n04604644,723,worm_fence
723,n04326547,724,stone_wall
724,n03459775,725,grille
725,n04239074,726,sliding_door
726,n04501370,727,turnstile
727,n03792972,728,mountain_tent
728,n04149813,729,scoreboard
729,n03530642,730,honeycomb
730,n03961711,731,plate_rack
731,n03903868,732,pedestal
732,n02814860,733,beacon
733,n07711569,734,mashed_potato
734,n07720875,735,bell_pepper
735,n07714571,736,head_cabbage
736,n07714990,737,broccoli
737,n07715103,738,cauliflower
738,n07716358,739,zucchini
739,n07716906,740,spaghetti_squash
740,n07717410,741,acorn_squash
741,n07717556,742,butternut_squash
742,n07718472,743,cucumber
743,n07718747,744,artichoke
744,n07730033,745,cardoon
745,n07734744,746,mushroom
746,n04209239,747,shower_curtain
747,n03594734,748,jean
748,n02971356,749,carton
749,n03485794,750,handkerchief
750,n04133789,751,sandal
751,n02747177,752,ashcan
752,n04125021,753,safe
753,n07579787,754,plate
754,n03814906,755,necklace
755,n03134739,756,croquet_ball
756,n03404251,757,fur_coat
757,n04423845,758,thimble
758,n03877472,759,pajama
759,n04120489,760,running_shoe
760,n03062245,761,cocktail_shaker
761,n03014705,762,chest
762,n03717622,763,manhole_cover
763,n03777754,764,modem
764,n04493381,765,tub
765,n04476259,766,tray
766,n02777292,767,balance_beam
767,n07693725,768,bagel
768,n03998194,769,prayer_rug
769,n03617480,770,kimono
770,n07590611,771,hot_pot
771,n04579145,772,whiskey_jug
772,n03623198,773,knee_pad
773,n07248320,774,book_jacket
774,n04277352,775,spindle
775,n04229816,776,ski_mask
776,n02823428,777,beer_bottle
777,n03127747,778,crash_helmet
778,n02877765,779,bottlecap
779,n04435653,780,tile_roof
780,n03724870,781,mask
781,n03710637,782,maillot
782,n03920288,783,Petri_dish
783,n03379051,784,football_helmet
784,n02807133,785,bathing_cap
785,n04399382,786,teddy
786,n03527444,787,holster
787,n03983396,788,pop_bottle
788,n03924679,789,photocopier
789,n04532106,790,vestment
790,n06785654,791,crossword_puzzle
791,n03445777,792,golf_ball
792,n07613480,793,trifle
793,n04350905,794,suit
794,n04562935,795,water_tower
795,n03325584,796,feather_boa
796,n03045698,797,cloak
797,n07892512,798,red_wine
798,n03250847,799,drumstick
799,n04192698,800,shield
800,n03026506,801,Christmas_stocking
801,n03534580,802,hoopskirt
802,n07565083,803,menu
803,n04296562,804,stage
804,n02869837,805,bonnet
805,n07871810,806,meat_loaf
806,n02799071,807,baseball
807,n03314780,808,face_powder
808,n04141327,809,scabbard
809,n04357314,810,sunscreen
810,n02823750,811,beer_glass
811,n13052670,812,hen-of-the-woods
812,n07583066,813,guacamole
813,n03637318,814,lampshade
814,n04599235,815,wool
815,n07802026,816,hay
816,n02883205,817,bow_tie
817,n03709823,818,mailbag
818,n04560804,819,water_jug
819,n02909870,820,bucket
820,n03207743,821,dishrag
821,n04263257,822,soup_bowl
822,n07932039,823,eggnog
823,n03786901,824,mortar
824,n04479046,825,trench_coat
825,n03873416,826,paddle
826,n02999410,827,chain
827,n04367480,828,swab
828,n03775546,829,mixing_bowl
829,n07875152,830,potpie
830,n04591713,831,wine_bottle
831,n04201297,832,shoji
832,n02916936,833,bulletproof_vest
833,n03240683,834,drilling_platform
834,n02840245,835,binder
835,n02963159,836,cardigan
836,n04370456,837,sweatshirt
837,n03991062,838,pot
838,n02843684,839,birdhouse
839,n03482405,840,hamper
840,n03942813,841,ping-pong_ball
841,n03908618,842,pencil_box
842,n03902125,843,pay-phone
843,n07584110,844,consomme
844,n02730930,845,apron
845,n04023962,846,punching_bag
846,n02769748,847,backpack
847,n10148035,848,groom
848,n02817516,849,bearskin
849,n03908714,850,pencil_sharpener
850,n02906734,851,broom
851,n03788365,852,mosquito_net
852,n02667093,853,abaya
853,n03787032,854,mortarboard
854,n03980874,855,poncho
855,n03141823,856,crutch
856,n03976467,857,Polaroid_camera
857,n04264628,858,space_bar
858,n07930864,859,cup
859,n04039381,860,racket
860,n06874185,861,traffic_light
861,n04033901,862,quill
862,n04041544,863,radio
863,n07860988,864,dough
864,n03146219,865,cuirass
865,n03763968,866,military_uniform
866,n03676483,867,lipstick
867,n04209133,868,shower_cap
868,n03782006,869,monitor
869,n03857828,870,oscilloscope
870,n03775071,871,mitten
871,n02892767,872,brassiere
872,n07684084,873,French_loaf
873,n04522168,874,vase
874,n03764736,875,milk_can
875,n04118538,876,rugby_ball
876,n03887697,877,paper_towel
877,n13044778,878,earthstar
878,n03291819,879,envelope
879,n03770439,880,miniskirt
880,n03124170,881,cowboy_hat
881,n04487081,882,trolleybus
882,n03916031,883,perfume
883,n02808440,884,bathtub
884,n07697537,885,hotdog
885,n12985857,886,coral_fungus
886,n02917067,887,bullet_train
887,n03938244,888,pillow
888,n15075141,889,toilet_tissue
889,n02978881,890,cassette
890,n02966687,891,carpenter's_kit
891,n03633091,892,ladle
892,n13040303,893,stinkhorn
893,n03690938,894,lotion
894,n03476991,895,hair_spray
895,n02669723,896,academic_gown
896,n03220513,897,dome
897,n03127925,898,crate
898,n04584207,899,wig
899,n07880968,900,burrito
900,n03937543,901,pill_bottle
901,n03000247,902,chain_mail
902,n04418357,903,theater_curtain
903,n04590129,904,window_shade
904,n02795169,905,barrel
905,n04553703,906,washbasin
906,n02783161,907,ballpoint
907,n02802426,908,basketball
908,n02808304,909,bath_towel
909,n03124043,910,cowboy_boot
910,n03450230,911,gown
911,n04589890,912,window_screen
912,n12998815,913,agaric
913,n02992529,914,cellular_telephone
914,n03825788,915,nipple
915,n02790996,916,barbell
916,n03710193,917,mailbox
917,n03630383,918,lab_coat
918,n03347037,919,fire_screen
919,n03769881,920,minibus
920,n03871628,921,packet
921,n03733281,922,maze
922,n03976657,923,pole
923,n03535780,924,horizontal_bar
924,n04259630,925,sombrero
925,n03929855,926,pickelhaube
926,n04049303,927,rain_barrel
927,n04548362,928,wallet
928,n02979186,929,cassette_player
929,n06596364,930,comic_book
930,n03935335,931,piggy_bank
931,n06794110,932,street_sign
932,n02825657,933,bell_cote
933,n03388183,934,fountain_pen
934,n04591157,935,Windsor_tie
935,n04540053,936,volleyball
936,n03866082,937,overskirt
937,n04136333,938,sarong
938,n04026417,939,purse
939,n02865351,940,bolo_tie
940,n02834397,941,bib
941,n03888257,942,parachute
942,n04235860,943,sleeping_bag
943,n04404412,944,television
944,n04371430,945,swimming_trunks
945,n03733805,946,measuring_cup
946,n07920052,947,espresso
947,n07873807,948,pizza
948,n02895154,949,breastplate
949,n04204238,950,shopping_basket
950,n04597913,951,wooden_spoon
951,n04131690,952,saltshaker
952,n07836838,953,chocolate_sauce
953,n09835506,954,ballplayer
954,n03443371,955,goblet
955,n13037406,956,gyromitra
956,n04336792,957,stretcher
957,n04557648,958,water_bottle
958,n03187595,959,dial_telephone
959,n04254120,960,soap_dispenser
960,n03595614,961,jersey
961,n04146614,962,school_bus
962,n03598930,963,jigsaw_puzzle
963,n03958227,964,plastic_bag
964,n04069434,965,reflex_camera
965,n03188531,966,diaper
966,n02786058,967,Band_Aid
967,n07615774,968,ice_lolly
968,n04525038,969,velvet
969,n04409515,970,tennis_ball
970,n03424325,971,gasmask
971,n03223299,972,doormat
972,n03680355,973,Loafer
973,n07614500,974,ice_cream
974,n07695742,975,pretzel
975,n04033995,976,quilt
976,n03710721,977,maillot
977,n04392985,978,tape_player
978,n03047690,979,clog
979,n03584254,980,iPod
980,n13054560,981,bolete
981,n10565667,982,scuba_diver
982,n03950228,983,pitcher
983,n03729826,984,matchstick
984,n02837789,985,bikini
985,n04254777,986,sock
986,n02988304,987,CD_player
987,n03657121,988,lens_cap
988,n04417672,989,thatch
989,n04523525,990,vault
990,n02815834,991,beaker
991,n09229709,992,bubble
992,n07697313,993,cheeseburger
993,n03888605,994,parallel_bars
994,n03355925,995,flagpole
995,n03063599,996,coffee_mug
996,n04116512,997,rubber_eraser
997,n04325704,998,stole
998,n07831146,999,carbonara
999,n03255030,1000,dumbbell
